2018 RANK,CITY,STATE,2018 ESTIMATE,2010 CENSUS,CHANGE,2016 LAND AREA SQ MI,2016 POPULATION DENSITY PER SQ MI
302,El Cajon, California,103241,99478,+3.78%,145,7156
303,Las Cruces, New Mexico,102926,97618,+5.44%,769,1323
304,Renton, Washington,102153,90927,+12.35%,234,4314
305,Davenport, Iowa,102085,99685,+2.41%,629,1631
306,South Bend, Indiana,101860,101168,+0.68%,414,2457
307,Vista, California,101224,93834,+7.88%,187,5436
308,Tuscaloosa, Alabama,101113,90468,+11.77%,717,1399
309,Clinton, Michigan,100800,96796,+4.14%,281,3573
310,Edison, New Jersey,100693,99967,+0.73%,301,3389
311,Woodbridge, New Jersey,100450,99585,+0.87%,233,4351
312,San Angelo, Texas,100215,93200,+7.53%,599,1681
313,Kenosha, Wisconsin,100164,99218,+0.95%,280,3577
314,Vacaville, California,100154,92428,+8.36%,290,3449
